便塊除去	摘便
尿が紫青色	着色尿
広範脊柱管狭窄症	脊柱管狭窄症
左上下肢痺れ	四肢のしびれ感
耳下腺腫瘍手術	耳下腺腫瘍
爪下出血（左足の指の爪）	爪床出血
後頸部つれ【筋痙攣】	頚部痙攣
カンピロバクター性食中毒	細菌性食中毒
爪下出血	爪床出血
Ｔ４上昇	Ｔ４増加
狭心症（バイパス術後）	狭心症
胃癌（平成１９年７月３日切除）	胃癌
右側胸部打撲	胸の挫傷
ＴＧ↑	トリグリセリド増加
上部消化管出血予防	出血予防
陳旧性視床出血	視床出血
右足踵痛	かかと痛
毛細管出血	毛細血管出血
左腎細胞癌疑い	腎細胞癌
自絞死	過量服薬以外の自殺企図
膝関節血腫	関節血腫
ＨＴ（高血圧）	高血圧
特発性心筋症	心筋症
両糖尿病性白内障	糖尿病性白内障
凝固系検査異常変動（ＰＴ低下、ＡＰＴＴ低下、プロテインＳ低下）	無し
尿酸値高値	尿酸高値
（下痢に伴う）腹痛	無し
背中のはり	背部硬直
Ｈｔ値低下（ヘマトクリット値低下）	ヘマトクリット値低下
歯肉腫脹の悪化	歯肉腫脹
左角膜異物	角膜異物
ＰＭＳ（嘔気、めまい、頭痛）	無し
無尿症	無尿
シャント部の易出血	動静脈瘻部位出血
痰に血が混じる	血痰
誤嚥性びまん性気管支肺炎	誤嚥性肺炎
手足皮膚落屑	皮膚落屑
Ｐ低下（リン低下）	リン酸塩減少
手掌・足底の皮膚の落屑	皮膚落屑
趾潰瘍（左足背，左第ニ・三・五趾）	足の潰瘍
両動脈硬化性眼底	眼底動脈硬化症
皮膚化膿創（先行するインターフェロン注射部位の皮膚化膿創）	注射部位感染
骨ページェット	骨パジェット病
下肢動脈瘤	下肢の動脈瘤
背筋痛	局所筋肉痛
皮膚の硬結	皮膚硬結
Ｔ．Ｂｉｌ値上昇	総ビリルビン増加
皮膚発疹	皮疹
右肩腱板損傷	肩回旋筋腱板損傷
２００３年８月膵非機能性内分泌腫瘍	膵神経内分泌腫瘍
頸髄鞘	脊髄症
右声帯ポリープ	声帯ポリープ
咳込み	咳嗽
慢性じん不全の悪化	慢性腎不全増悪
右眼視野欠損	視野欠損
Ｈｂの低下	Ｈｂ減少
皮膚掻痒の増悪	そう痒症増悪
出血（血尿）	血尿
ＳＶＣ症候群	上大静脈症候群
Ａｌ－ｐ髙値	血中アルカリホスファターゼ高値
膵臓Γ線療法	膵臓γ線療法
慢性肺気腫症	肺気腫症
大腿部の痛み	大腿痛
歯痛（腫張熱感）	無し
月経の欠如	月経欠如
頸椎症	頚椎症
２１才盲腸手術	盲腸手術
無症候性間欠的肉眼的血尿	肉眼的血尿
回腸末端に多数の潰瘍	回腸潰瘍
可逆性後白質脳症	可逆性後白質脳症症候群
ｂｒｏｎｃｈｉｅｃｔａｓｉｓ	気管支拡張症
点状角膜炎	点状角膜炎
「肝不全」による死亡	肝不全
ＡＬ－Ｐの上昇	ＡＬＰ増加
肺癌、脳転移なし	肺癌
反復性扁桃炎	再発性扁桃炎
1度房室ブロック	第一度房室ブロック
覚醒	覚醒状態
右腎細胞癌	腎細胞癌
血液培養でカンジダ	カンジダ検査陽性
内頸動脈狭窄症	頚動脈狭窄
左股関節異所性石灰化症	関節石灰化
頚部腫瘤摘除術	頚部腫瘤
骨悪性腫瘍	骨の悪性新生物
仙骨部潰瘍	皮膚潰瘍
左膝関節症	変形性膝関節症
ヘルニア（鼠蹊部）	鼡径ヘルニア
左眼球結膜下出血	結膜下出血
Ｓ状結腸憩室出血疑い	出血性結腸憩室
顔面部切傷	顔面損傷
新生血管加齢黄斑変性（右眼）	新生血管加齢黄斑変性
末梢神経痛	神経痛
高血圧一時悪化	高血圧増悪
高リン	血中リン増加
左上肢帯状疱疹	帯状疱疹皮膚炎
びらん性湿疹（外陰部）	接触性湿疹
右総腸骨動脈狭窄症	腸骨動脈狭窄
下顎骨髄炎	顎骨髄炎
多発毛のう炎	毛包炎
成人STILL病	成人発症スチル病
母；骨粗鬆症	家族性危険因子
虫垂炎の切除	虫垂炎
過眠傾向	過眠症
内出血斑	内出血
人工呼吸治療に伴う鎮静	医療処置中の鎮静
肝細胞癌（C型）	肝細胞癌
唇裂・口蓋裂	口唇口蓋裂
直腸癌で２００５年に手術	直腸癌
アナフィラキシーショックの疑い	アナフィラキシーショック
帯下異臭	異臭性腟分泌物
右ラクナ梗塞	ラクナ梗塞
心室中隔欠損手術後	心室中隔欠損修復
甲状腺乳頭癌	乳頭様甲状腺癌
頻脈性	頻脈
右眼マイボーム腺梗塞	マイボーム腺梗塞
上行結腸癌→ｏｐｅ	上行結腸の悪性新生物
接触性皮膚炎（顔）	接触皮膚炎
腹腔内リンパ節転移	リンパ節転移
僧帽弁輪形成術術後	僧帽弁修復
胃糜爛	胃粘膜びらん
下血の増悪	メレナ
便秘傾向	便秘
右腎癌	腎癌
立位困難	起立困難
甲状腺右葉切除術	甲状腺葉切除術
冠動脈拡張症	冠動脈拡張
マイクロ波凝固療法	マイクロ波凝固
Ｐａｔ	無し
ｉ‐ＰＴＨが６３０に上昇した	ＰＴＨ増加
左足が痺れる	足のしびれ感
白血球数（末梢血）の上昇	白血球数増加
消退出血時の腰痛	無し
子宮筋腫（全摘術）	筋腫核出術
直腸周囲の脂肪織濃度上昇	脂肪組織増加
下肢ＡＳＯの増悪	下肢閉塞性動脈硬化症
右末梢性顔面麻痺	顔面神経麻痺
いつも頭が重い	頭重
悲観気分	悲哀感
両側腎のう胞	腎嚢胞
右腸骨部湿疹	湿疹
下くちびるが腫れる	口唇腫脹
肝キノウ障害	肝機能障害
右耳下腺癌（平成２４年４月）	耳下腺悪性腫瘍
期限切れのレビトラを処方	期限切れの薬剤使用
原因不明右下肢痛	下肢痛
左下腿内側部痛	下肢痛
血管腫（肝）	肝臓血管腫
多形紅球	多形紅斑
膵コウソ↑	膵酵素増加
犬に噛まれ	イヌ咬傷
３３才～３４才右白内障のｏｐｅ	白内障手術
転倒による臀部打撲【臀部打撲】	殿部の挫傷
大腸癌術后（Ｈ２２年３月ｏｐｅ）	大腸癌
上半身のかゆみ	そう痒
むちうち症	むち打ち損傷
おりものに少し血が混じっている	血性腟分泌物
顔面尋常性いぼ	尋常性疣贅
マヒ	麻痺
悪阻	妊娠悪阻
ヘルペス帯状疱疹	帯状疱疹
ドライブライン感染症	医療機器関連感染
左側頭葉皮質下出血	脳出血
１９９８糖尿病を指摘され治療開始	糖尿病
のう胞性膵疾患	膵嚢胞
掻痒感（右脇腹のカテーテル部位）	カテーテル留置部位そう痒感
心窩部不快	心窩部不快感
両下腿掻痒感	下肢そう痒
左足首ねんざ	足関節捻挫
原疾患の進行による死亡【腎細胞癌】	腎細胞癌
打撲【下肢】	脚の挫傷
ＩＰＡＡ	回腸肛門吻合
慢性肺血栓塞栓症	慢性肺塞栓症
ＣＰＫが上昇	ＣＰＫ増加
下肢乾皮症	乾皮症
脳梗塞領域に微小出血	出血性脳梗塞
夜間失禁	夜尿
痰に少量の血が混じる	血痰
HB低下	ヘモグロビン減少
疼痛増強（骨転移部）	転移部骨痛
背筋の痙攣	背筋攣縮
（早期）胃癌	胃癌
A型肝炎	Ａ型肝炎
肛門管に圧痛	肛門痛
右骨盤骨折	骨盤骨折
両手ピリピリ感	手異常感覚
右胸水穿刺部出血【出血】	穿刺部位出血
消化管間質腫瘍（胃）	消化管間質性腫瘍
Ｓ状結腸癌	Ｓ状結腸の悪性新生物
甲状腺癌（摘術）	甲状腺癌
腸管嚢胞性気腫症	腸壁嚢状気腫症
血清リパーゼ高値	リパーゼ増加
口腔内良性腫瘍術後	口腔の良性新生物
甲状腺眼症（左眼）	甲状腺関連眼窩疾患
両外反母趾	外反母趾
網膜中心静脈分枝閉塞症	網膜静脈閉塞
高血圧症の悪化（頭痛を伴う）【高血圧症の悪化】	高血圧増悪
麦粒腫（右眼）	麦粒腫
汎発性急性湿疹	急性湿疹
ＨａｎｄＦｏｏｔＳｙｎｄｒｏｍ	手足症候群
両手疼痛	手の痛み
硬膜下ＡＤＭ【脳血管動静脈奇形】	脳血管動静脈奇形
のう胞感染	感染性嚢腫
ａｎｇｉｎａ ｐｅｃｔｏｒｉｓ	狭心症
胸がズキズキ痛む	胸痛
風疹感染に関連する関節炎	風疹性関節炎
２００７．１１．１右乳癌術後	乳癌
肝キノウ異常ＧＯＴ↑	ＧＯＴ増加
膣部びらん	腟びらん
最大呼気流速増加	最大呼気流量増加
軟性ドルーゼン	黄斑ドルーゼン
７７才甲状腺腫瘍（良性）	甲状腺の良性新生物
汎網膜光凝固術（右眼）	汎網膜光凝固
尿糖陽転	尿糖陽性
特発性好酸球増多症	好酸球増加症
筋痙攣（手・足）	四肢痙攣
Ｈ９妊娠中毒症	妊娠中毒症
消化管間質腫瘍（腸管外）	消化管間質性腫瘍
薬物相互作用	薬物相互作用
上腕動脈仮性動脈瘤破裂	血管偽動脈瘤破裂
左手首皮下出血	皮下出血
左眼球手術	眼部手術
左膝半月板損傷	半月板損傷
狭心症（ステント後）	狭心症
ふくらはぎの痺れ	下肢のしびれ感
むくみ【両下肢】	下肢浮腫
怪我すると止血しにくい	止血延長
挫傷部の出血（出血）	外傷性出血
サ声	嗄声
両白内障手術	白内障手術
血栓形成予防	血栓症予防
胆のう結石	胆嚢結石
口唇のしびれ	口唇のしびれ感
不安定性膀胱	不安定膀胱
やけど	熱傷
肩部関節痛	肩関節痛
胸膜炎(幼少時)	胸膜炎
腹部皮疹	体幹皮疹
術後性頬部のう腫術後	嚢胞
巨大子宮筋腫	子宮筋腫
進行下部直腸癌	直腸癌
子宮頸部異型上皮異型度１	子宮頚部上皮異形成
コレステロールが高め	コレステロール高値
血清アルブミン値の低下	血清アルブミン減少
タンパク尿の増悪	蛋白尿増悪
ｅｏｓｉｎｏ％の上昇	好酸球百分率増加
息を吸うと胸が痛む	呼吸時疼痛
顔面の発疹（膨隆疹）	限局性蕁麻疹
Ｎａ低下	ナトリウム減少
DM性腸管運動障害	糖尿病性胃腸障害
心房細動アブレーション周術期	心房細動
髪の毛が抜けている	毛髪脱落
右足腱しょう炎	腱鞘炎
義歯の不具合【義歯があわない】	義歯不具合
頻脈性心房細動	頻回心室応答を伴う心房細動
肝動脈血栓	肝動脈血栓症
全身性乾皮症	乾皮症
左下肢浮腫	下肢浮腫
微小肺動脈腫瘍塞栓	腫瘍性塞栓症
γｰGTP高値の悪化	γ－グルタミルトランスフェラーゼ高値
右中咽頭癌頚部転移	無し
左肩～頚部の疼痛	肩痛
足がだるい	筋肉疲労
右前脛骨部骨折	脛骨骨折
左下腿切断術	下肢切断
手掌発赤	手掌紅斑
腎機能の悪化	腎機能悪化
眼瞼かぶれ[コメント欄に次の記載あり：「化粧品による眼瞼の周りのかぶれのため治験薬との関連はない」]	アレルギー性眼瞼炎
発疹（顔、手、足、首）	発疹
腰椎不安定症L4 L5	腰椎不安定
息切れ・呼吸困難	呼吸困難
左萎縮腎	萎縮腎
右眼黄斑穿孔	黄斑破裂
右大腿部筋肉炎	筋炎
嘔気、食欲不振	無し
ａＰＴＴ過度高値	ＡＰＴＴ増加
突然死【詳細不明】	突然死ＮＯＳ
甲状腺数値異常	甲状腺機能検査異常
両側手根管症候群	手根管症候群
黄色い痰	変色痰
頭の痒み	頭皮そう痒
腸破裂（交通事故による）	無し
全身の腫脹感	腫脹ＮＯＳ
喉のいがいが	咽頭刺激感
両老人性白内障	老人性白内障
尿蛋白（＋）	尿蛋白陽性
全身のだるさ	全身倦怠
皮下腫瘍（左側腹部、左腋窩）	皮膚腫瘍
ヒフそうよう症	皮膚そう痒症
左右変形性膝関節症	変形性膝関節症
インフルエンザ感染	インフルエンザ
骨、肺肝転移【骨転移】	骨転移
原因不明の腎機能低下症	腎機能低下
子宮頚部細胞診（トリコモナスチェックのため）の性器出血	処置による出血
湿疹（会陰部）	湿疹
乳房の張り感	乳房緊満
イグザレルトを１日５ｍｇ服用	不完全な用量の投与
右腎嚢胞	腎嚢胞
口腔のあれ	口内のあれ
骨移植術	骨移植
右頬口腔粘膜血腫	口腔粘膜血腫
右網膜剥離手術	網膜剥離修復
肝機能障害の疑い	肝機能障害
陳旧性子宮筋腫	子宮筋腫
黄斑下手術（右眼）	網膜手術
続発性副甲状腺亢進症	続発性副甲状腺機能亢進症
月経が１週間遅れた	月経遅延
両眼黄斑浮腫	黄斑浮腫
左腎結石仙痛発作	無し
心筋こうそく	心筋梗塞
大腸癌肝転移	無し
頻繁なＵＴＩ	反復性尿路感染
２００８２／２０副腎不全	副腎機能不全
変形性肘関節症疑い	変形性肘関節症
右手根管手術	手根管減圧術
左足底に痺れ	足のしびれ感
上いんとう癌	上咽頭癌
ロイシンアミノぺプチダーゼ上昇	ロイシンアミノペプチダーゼ上昇
穿刺部のかぶれ	接触皮膚炎
細菌性肺炎の再燃	細菌性肺炎
脳幹梗塞後遺症	脳幹梗塞
ムコソルバンは、ｏｐｅ後の去痰目的	痰
術後腸管癒着（腸管癒着でOK）	腸管癒着
左側肢神経痛	神経痛
血栓症の予防	血栓症予防
プラダーウィリー症候群	プラダーウィリ症候群
生理が来ない	月経遅延
心不全様症状	心不全
糖尿病性綱膜症	糖尿病網膜症
運動性失語	運動性失語症
カンジダ【腟（外陰部）】	外陰部腟カンジダ
HCV陽性	Ｃ型肝炎ウイルス検査陽性
急性心不全疑い	急性心不全
肺癌抗がん剤治療	肺癌
右上腕乾皮症	乾皮症
子宮筋腫（子宮摘出術施行）	筋腫核出術
果物によるアレルギー	果物アレルギー
アルコール歴有	アルコール摂取
眼底出血（硝子体出血）	無し
網膜剥離術後	網膜剥離修復
肝機能障害出現	肝機能障害
そけいヘルニア手術	鼡径部ヘルニア修復
後腹膜腫瘍	後腹膜新生物
アミラーゼ低下	アミラーゼ減少
下腹部痛（内膜細胞診採取のため）	処置による疼痛
美出血	鼻出血
痛風関節炎	痛風性関節炎
手足皮フ反応	手足皮膚反応
２型糖尿病性腎症	糖尿病性腎症
左石灰沈着性腱板炎	肩の石灰化腱炎
子供が偶発的に祖母の薬を服薬した	子供の偶発的薬剤摂取
チャンバー凝固	体外回路内血液凝固
高熱（３８℃）	発熱
頭部過敏症状	皮膚過敏症
Ｓ状結腸拡張症	結腸拡張
声がでずらい	発声困難
肉眼的血尿の悪化	肉眼的血尿
精神状態悪化予防	予防
むねやけ	胸やけ
両大腿骨骨折	大腿骨骨折
Ｔ－Ｂｉｌ増加【総ビリルビン増加】	総ビリルビン増加
血栓再発抑制	血栓症予防
嘔吐（月経時）	嘔吐
急性歯槽骨炎	歯槽骨炎
非弁膜性発作性心房細動	発作性心房細動
左下肢蜂窩織炎	下肢蜂巣炎
陳旧性ラクナ梗塞（脳）	ラクナ梗塞
細菌性多発肺炎	細菌性肺炎
合成ペニシリンアレルギー	ペニシリンアレルギー
Ｐ－ＡＭＹ上昇	血中膵型アミラーゼ増加
左右下肢静脈瘤	下肢静脈瘤
陥入爪の悪化	嵌入爪
発赤（左母指）	限局性紅斑
早期糖尿病性腎症	糖尿病性腎症
血色素量減少	ヘモグロビン減少
